symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
EQR,68.74,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:31,0
ADP,325.75,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:58,0
PANW,196.96,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:07,0
ETN,325.84,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:07,0
COF,193.24,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:14,0
VRTX,442.21,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:21,0
LMT,480.24,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:25,0
MDT,86.75,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:33,0
ADI,219.57,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:40,0
ICE,178.34,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:44,0
WELL,151.68,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:48,0
SO,89.03,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:55,0
WM,238.50,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:59,0
CEG,296.59,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:08,0
DUK,116.00,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:10,0
FI,164.78,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:14,0
AJG,325.62,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:17,0
